ID,VendorID,Vendor,AccountCode,AccountDescription,DocNo,Amount,Date,Source
0,,JILL BARTLETT & COMPANY LTD,,Catering Charges,,1390.11,2008-04-01,338-april_2008
1,,2CL COMMUNICATIONS LTD,,Postage,,1222.01,2008-04-01,4-april_2008
2,,ACCOR SERVICES,,Other External Services,,8109.34,2008-04-01,5-april_2008
3,,ACCOR SERVICES,,Other Supplies & Services,,8109.34,2008-04-01,6-april_2008
4,,ACCOR SERVICES,,Other Supplies & Services,,7062.64,2008-04-01,7-april_2008
5,,ZOOLOGICAL SOCIETY OF LONDON,,Catering Charges,,2251.30,2008-04-01,728-april_2008
6,,ZOOLOGICAL SOCIETY OF LONDON,,Grants to Other Bodies,,131326.24,2008-04-01,727-april_2008
7,,ZINC EVENTS LTD,,Other Recruitment Expenses,,1057.50,2008-04-01,726-april_2008
8,,ZINC EVENTS LTD,,Other Recruitment Expenses,,1233.75,2008-04-01,725-april_2008
9,,ZINC EVENTS LTD,,Other Recruitment Expenses,,1527.50,2008-04-01,724-april_2008
10,,Z-CARD LTD,,Publications Printing,,4849.75,2008-04-01,723-april_2008
11,,YVONNE GORDON,,Consultancy Fees,,1912.50,2008-04-01,722-april_2008
12,,YOUGOV PLC,,Other Supplies & Services,,11045.00,2008-04-01,721-april_2008
13,,XCHANGETEAM GROUP,,Temporary Agency Staff Costs,,1138.28,2008-04-01,720-april_2008
14,,XCHANGETEAM GROUP,,Temporary Agency Staff Costs,,1138.28,2008-04-01,719-april_2008
15,,XCHANGETEAM GROUP,,Temporary Agency Staff Costs,,1219.54,2008-04-01,718-april_2008
16,,XCHANGETEAM GROUP,,Temporary Agency Staff Costs,,1380.70,2008-04-01,717-april_2008
17,,XCHANGETEAM GROUP,,Temporary Agency Staff Costs,,1983.81,2008-04-01,716-april_2008
18,,WT EMEA ACQUISTION LTD,,Capital Expenditure - Other Costs,,15010.31,2008-04-01,715-april_2008
19,,WIRE DESIGN LTD,,IT Software - Licences,,1057.50,2008-04-01,714-april_2008
20,,WINDFIELD PROMOTIONS LTD,,Other Supplies & Services,,9722.66,2008-04-01,713-april_2008
21,,WINDFIELD PROMOTIONS LTD,,Other Supplies & Services,,269091.45,2008-04-01,712-april_2008
22,,WILLIS NEWS DISTRIBUTION LTD,,"Journals, Serials & Newspapers",,1383.28,2008-04-01,711-april_2008
23,,WILDBORE & GIBBONS,,Legal Fees,,1695.50,2008-04-01,710-april_2008
24,,WILDBORE & GIBBONS,,Legal Fees,,2402.00,2008-04-01,709-april_2008
25,,WIDEAWARE TRAINING,,Consultancy Fees,,3290.00,2008-04-01,708-april_2008
26,,WHITE YOUNG GREEN ENVIRONMENTAL LTD,,Health & Safety - Premises,,3605.78,2008-04-01,707-april_2008
27,,WHITE YOUNG GREEN ENVIRONMENTAL LTD,,Health & Safety - Premises,,3605.78,2008-04-01,706-april_2008
28,,WESTMINISTER ADVISORS,,Other External Services,,2398.82,2008-04-01,705-april_2008
29,,WATERFRONT CONFERENCE COMPANY,,Consultancy Fees,,4493.21,2008-04-01,704-april_2008
